Frame,Rotation_X,Rotation_Y,Rotation_Z
0,1.570796,0.000000,0.000000
1,1.570796,0.000000,-0.087012
2,1.570796,0.000000,-0.311411
3,1.570796,0.000000,-0.618243
4,1.570796,0.000000,-0.952553
5,1.570796,0.000000,-1.259385
6,1.570796,0.000000,-1.483784
7,1.570796,0.000000,-1.570796
8,1.605601,0.000000,-1.570796
9,1.695361,0.000000,-1.570796
10,1.818094,0.000000,-1.570796
11,1.951818,0.000000,-1.570796
12,2.074550,0.000000,-1.570796
13,2.164310,0.000000,-1.570796
14,2.199115,0.000000,-1.570796
15,2.199115,0.000000,-1.744820
16,2.199115,0.000000,-2.193619
17,2.199115,0.000000,-2.807283
18,2.199115,0.000000,-3.475902
19,2.199115,0.000000,-4.089566
20,2.199115,0.000000,-4.538364
21,2.199115,0.000000,-4.712389
22,2.164310,0.000000,-4.712389
23,2.074550,0.000000,-4.712389
24,1.951817,0.000000,-4.712389
25,1.818094,0.000000,-4.712389
26,1.695361,0.000000,-4.712389
27,1.605601,0.000000,-4.712389
28,1.570796,0.000000,-4.712389
29,1.570796,0.087012,-4.712389
30,1.570796,0.311411,-4.712389
31,1.570796,0.618243,-4.712389
32,1.570796,0.952553,-4.712389
33,1.570796,1.259385,-4.712389
34,1.570796,1.483784,-4.712389
35,1.570796,1.570796,-4.712389
36,1.570796,1.407434,-4.674690
37,1.570796,1.017876,-4.410796
38,1.570796,0.552920,-3.694513
39,1.570796,0.163363,-2.299645
40,1.570796,0.000000,0.000000
