Frame,Rotation_X,Rotation_Y,Rotation_Z
0,0.000000,0.000000,0.000000
1,-0.000000,-0.006981,0.000000
2,-0.000000,-0.013963,0.000000
3,0.006981,-0.027925,-0.000000
4,0.013963,-0.076794,-0.000000
5,0.027925,-0.146608,0.000000
6,0.041888,-0.181514,0.000000
7,0.048870,-0.195477,-0.000000
8,0.055851,-0.209439,-0.000000
9,0.062832,-0.244346,-0.000000
10,0.076795,-0.272271,-0.000000
11,0.083776,-0.293215,-0.000000
12,0.083776,-0.314159,-0.000000
13,0.083777,-0.328122,-0.000000
14,0.083776,-0.342085,-0.000000
15,0.090758,-0.363028,-0.000000
16,0.090758,-0.383972,-0.000000
17,0.090758,-0.404916,-0.000000
18,0.090758,-0.411898,-0.000000
19,0.090758,-0.425860,-0.000000
20,0.090757,-0.439823,0.000000
21,0.090757,-0.453786,-0.000000
22,0.090758,-0.474730,-0.000000
23,0.090758,-0.488692,-0.000000
24,0.090758,-0.495674,-0.000000
25,0.090758,-0.502655,-0.000000
26,0.090758,-0.516617,-0.000000
27,0.090758,-0.523599,-0.000000
28,0.083776,-0.530580,-0.000000
29,0.083776,-0.537561,-0.000000
30,0.083776,-0.551524,-0.000000
31,0.083776,-0.558505,-0.000000
32,0.076795,-0.572468,-0.000000
33,0.076795,-0.586431,-0.000000
34,0.069813,-0.593412,-0.000000
35,0.069813,-0.607375,-0.000000
36,0.062832,-0.621337,-0.000000
37,0.062832,-0.635300,-0.000000
38,0.055851,-0.656244,-0.000000
39,0.048869,-0.691150,-0.000000
40,0.041888,-0.705113,-0.000000
41,0.027925,-0.753982,-0.000000
42,0.013962,-0.774926,-0.000000
43,0.006981,-0.795870,-0.000000
44,-0.000001,-0.816814,-0.000000
45,-0.020945,-0.886627,-0.000000
46,-0.027926,-0.963422,-0.000000
47,-0.041889,-1.033235,-0.000000
48,-0.048870,-1.075123,-0.000000
49,-0.048870,-1.096067,-0.000000
50,-0.048870,-1.123992,-0.000000
51,-0.055852,-1.179843,-0.000000
52,-0.055851,-1.214749,-0.000000
53,-0.055851,-1.242674,-0.000000
54,-0.055852,-1.263618,-0.000000
55,-0.055852,-1.298525,-0.000000
56,-0.055852,-1.333432,-0.000000
57,-0.055852,-1.396263,-0.000000
58,-0.048870,-1.424188,-0.000000
59,-0.048870,-1.466076,-0.000000
60,-0.041889,-1.500983,-0.000000
61,-0.041889,-1.528908,-0.000000
62,-0.041889,-1.570796,0.000000
63,-0.034908,-1.605703,0.000000
64,-0.034908,-1.654572,0.000000
65,-0.027926,-1.675516,-0.000000
66,-0.027926,-1.703441,0.000000
67,-0.027927,-1.731366,0.000000
68,-0.020945,-1.773254,-0.000000
69,-0.020945,-1.808161,-0.000000
70,-0.020945,-1.829105,-0.000000
71,-0.020945,-1.843067,-0.000000
72,-0.013964,-1.877974,-0.000000
73,-0.013964,-1.898918,-0.000000
74,-0.013964,-1.919862,-0.000000
75,-0.013964,-1.947787,0.000000
76,-0.013964,-1.968731,0.000000
77,-0.006982,-2.010619,0.000000
78,-0.000001,-2.045526,0.000000
79,-0.000001,-2.094395,0.000000
80,0.006980,-2.143264,0.000000
81,0.006980,-2.171189,0.000000
82,0.013961,-2.234021,0.000000
83,0.020942,-2.338741,-0.000000
84,0.034905,-2.429498,0.000000
85,0.034905,-2.485349,0.000000
86,0.041886,-2.513274,0.000000
87,0.048867,-2.555162,0.000000
88,0.048868,-2.590069,0.000000
89,0.055849,-2.631956,0.000000
90,0.062830,-2.652900,0.000000
91,0.062830,-2.687807,0.000000
92,0.062830,-2.701770,0.000000
93,0.062830,-2.736676,0.000000
94,0.062830,-2.764601,0.000000
95,0.062830,-2.806489,0.000000
96,0.069812,-2.862340,0.000000
97,0.076793,-2.925172,0.000000
98,0.076793,-2.981022,0.000000
99,0.076793,-3.022910,0.000000
100,0.083774,-3.050836,0.000000
101,0.083774,-3.078761,0.000000
102,0.083774,-3.113667,0.000000
103,0.083774,-3.169518,0.000000
104,0.083774,-3.190462,0.000000
105,0.076793,-3.246313,0.000000
106,0.076793,-3.288200,0.000000
107,0.069811,-3.371976,0.000000
108,0.069811,-3.434808,0.000000
109,0.062830,-3.504621,0.000000
110,0.062830,-3.525565,-0.000000
111,0.055849,-3.539528,-0.000000
112,0.055849,-3.560472,-0.000000
113,0.055849,-3.609341,-0.000000
114,0.055849,-3.630285,-0.000000
115,0.048868,-3.665192,-0.000000
116,0.048868,-3.693117,-0.000000
117,0.048868,-3.755949,-0.000000
118,0.048868,-3.832743,-0.000000
119,0.048868,-3.881612,-0.000000
120,0.048868,-3.909538,-0.000000
121,0.048868,-3.951425,-0.000000
122,0.048868,-3.993314,-0.000000
123,0.048868,-4.035201,-0.000000
124,0.048868,-4.098033,-0.000000
125,0.048868,-4.153884,-0.000000
126,0.048868,-4.188790,-0.000000
127,0.048868,-4.223697,-0.000000
128,0.048868,-4.258604,-0.000001
129,0.048868,-4.279548,-0.000001
130,0.048868,-4.314454,-0.000001
131,0.048868,-4.335398,-0.000001
132,0.048868,-4.370305,-0.000001
133,0.048868,-4.398230,-0.000001
134,0.041887,-4.405211,-0.000001
135,0.041887,-4.419174,-0.000001
136,0.041887,-4.433136,-0.000001
137,0.034906,-4.447099,-0.000001
138,0.034906,-4.461062,-0.000001
139,0.034906,-4.488987,-0.000001
140,0.034906,-4.509931,-0.000001
141,0.027924,-4.530875,-0.000001
142,0.027924,-4.551819,-0.000001
143,0.020943,-4.572763,-0.000001
144,0.020943,-4.586726,-0.000001
145,0.013962,-4.614651,-0.000001
146,0.006981,-4.642576,-0.000001
147,0.006981,-4.663520,-0.000001
148,-0.000001,-4.677483,-0.000001
149,-0.000001,-4.705408,-0.000001
150,-0.006982,-4.726352,-0.000001
151,-0.006982,-4.740314,-0.000001
152,-0.013963,-4.754277,-0.000001
153,-0.020945,-4.775221,-0.000001
154,-0.020944,-4.796165,-0.000001
155,-0.027926,-4.810128,-0.000001
156,-0.034907,-4.831072,-0.000001
157,-0.034907,-4.858997,-0.000001
158,-0.041888,-4.879941,-0.000000
159,-0.041888,-4.893904,-0.000001
160,-0.041888,-4.921829,-0.000001
161,-0.048870,-4.949754,-0.000001
162,-0.055851,-5.005605,-0.000001
163,-0.062832,-5.061455,-0.000001
164,-0.062832,-5.103343,-0.000000
165,-0.069813,-5.138249,-0.000000
166,-0.076794,-5.173156,-0.000000
167,-0.076794,-5.215044,-0.000000
168,-0.076794,-5.242970,-0.000000
169,-0.083776,-5.305801,-0.000000
170,-0.083776,-5.354671,-0.000000
171,-0.090757,-5.403540,-0.000001
172,-0.097739,-5.480334,-0.000001
173,-0.104720,-5.515241,-0.000000
174,-0.104719,-5.550148,-0.000000
175,-0.104720,-5.585054,-0.000000
176,-0.104719,-5.619961,-0.000000
177,-0.111701,-5.654867,-0.000000
178,-0.111701,-5.689774,-0.000001
179,-0.111701,-5.724680,-0.000000
180,-0.111701,-5.787512,-0.000001
181,-0.118683,-5.864307,-0.000001
182,-0.118683,-5.899213,-0.000000
183,-0.118682,-5.955064,-0.000000
184,-0.118682,-6.031858,-0.000001
185,-0.118682,-6.094690,-0.000001
186,-0.111701,-6.157522,-0.000001
187,-0.111701,-6.192429,-0.000000
188,-0.104720,-6.248279,-0.000001
189,-0.097738,-6.290167,-0.000000
190,-0.083776,-6.332055,-0.000000
191,-0.069813,-6.373943,-0.000001
192,-0.062832,-6.415831,-0.000001
193,-0.048869,-6.457719,-0.000001
194,-0.041888,-6.499607,-0.000001
195,-0.034906,-6.520551,-0.000000
196,-0.027925,-6.527532,-0.000001
197,-0.027925,-6.541494,-0.000001
198,-0.020944,-6.548476,-0.000001
199,-0.020944,-6.555457,-0.000001
200,-0.020944,-6.555457,-0.000001
201,-0.023257,-6.555457,-0.000001
202,-0.027925,-6.555457,-0.000001
203,-0.034906,-6.548476,-0.000000
204,-0.048869,-6.548476,-0.000001
205,-0.055851,-6.548476,-0.000000
206,-0.076794,-6.534513,-0.000000
207,-0.104720,-6.527532,-0.000000
208,-0.118683,-6.520551,-0.000000
209,-0.153589,-6.506588,-0.000000
210,-0.167552,-6.485644,-0.000000
211,-0.188496,-6.471681,-0.000000
212,-0.202458,-6.450737,-0.000000
213,-0.230384,-6.415831,-0.000000
214,-0.286234,-6.366961,-0.000000
215,-0.321141,-6.332055,-0.000000
216,-0.342085,-6.318092,-0.000000
217,-0.404917,-6.276205,-0.000000
218,-0.439823,-6.255260,-0.000000
219,-0.474730,-6.241298,-0.000000
220,-0.495674,-6.234316,-0.000000
221,-0.516618,-6.220354,-0.000000
222,-0.537562,-6.213373,-0.000000
223,-0.579450,-6.199410,-0.000000
224,-0.593413,-6.192429,-0.000000
225,-0.600394,-6.192429,-0.000000
226,-0.621338,-6.192429,-0.000000
227,-0.628319,-6.185447,-0.000000
228,-0.656245,-6.171484,-0.000000
229,-0.677189,-6.164503,-0.000000
230,-0.705114,-6.150541,-0.000000
231,-0.753983,-6.129597,-0.000001
232,-0.809834,-6.094690,-0.000000
233,-0.872665,-6.059783,-0.000000
234,-0.928516,-6.031858,-0.000000
235,-0.991348,-5.989970,-0.000000
236,-1.047198,-5.955064,-0.000000
237,-1.117012,-5.906195,-0.000001
238,-1.165881,-5.871288,-0.000001
239,-1.179843,-5.857325,-0.000001
240,-1.186825,-5.850344,-0.000001
241,-1.193806,-5.850344,-0.000001
242,-1.193806,-5.850344,-0.000001
243,-1.200787,-5.850344,-0.000001
244,-1.200242,-5.850344,-0.000001
245,-1.196424,-5.850344,-0.000001
246,-1.186061,-5.850344,-0.000001
247,-1.165881,-5.850344,-0.000000
248,-1.117011,-5.850344,-0.000001
249,-1.068142,-5.843362,-0.000000
250,-0.935497,-5.843362,-0.000000
251,-0.795871,-5.836381,-0.000000
252,-0.663226,-5.815437,-0.000000
253,-0.523599,-5.808456,-0.000000
254,-0.425861,-5.787512,-0.000000
255,-0.356048,-5.773549,-0.000000
256,-0.272272,-5.745624,-0.000000
257,-0.181515,-5.717699,-0.000000
258,-0.090758,-5.696755,-0.000000
259,0.020944,-5.668829,-0.000000
260,0.111701,-5.640904,-0.000000
261,0.174533,-5.592035,-0.000000
262,0.195477,-5.571091,-0.000000
263,0.209439,-5.550147,-0.000000
264,0.209440,-5.543166,0.000000
265,0.209440,-5.529203,0.000000
266,0.209440,-5.494297,-0.000000
267,0.209440,-5.389577,0.000000
268,0.209439,-5.305801,0.000000
269,0.209439,-5.242970,0.000000
270,0.216421,-5.187119,0.000000
271,0.223402,-5.110324,0.000000
272,0.251327,-4.970698,0.000000
273,0.307178,-4.845034,0.000000
274,0.363028,-4.726352,-0.000000
275,0.404916,-4.656538,-0.000000
276,0.460766,-4.600688,-0.000000
277,0.551523,-4.544837,-0.000001
278,0.642280,-4.495968,-0.000001
279,0.726056,-4.461061,-0.000001
280,0.809832,-4.433136,-0.000000
281,0.921533,-4.398230,-0.000000
282,1.026253,-4.384267,-0.000001
283,1.123992,-4.370305,-0.000001
284,1.228711,-4.356342,-0.000001
285,1.319468,-4.349360,-0.000001
286,1.403244,-4.342380,-0.000002
287,1.459095,-4.342380,-0.000001
288,1.514945,-4.335400,-0.000002
289,1.542871,-4.335406,-0.000012
290,1.563815,-4.328447,-0.000034
291,1.542872,-7.463023,-3.141585
292,1.507965,-7.442081,-3.141589
293,1.473058,-7.414156,-3.141590
294,1.431170,-7.365285,-3.141590
295,1.410226,-7.330380,-3.141590
296,1.410227,-7.323400,-3.141591
297,1.403245,-7.323399,-3.141590
298,1.403245,-7.316417,-3.141590
299,1.403245,-7.309435,-3.141590
300,1.417208,-7.281510,-3.141590
301,1.487021,-7.176787,-3.141587
302,1.549853,-7.044143,-3.141584
303,1.591741,-6.953404,-3.141604
304,1.647591,-6.834711,-3.141595
305,1.703442,-6.695085,-3.141595
306,1.766274,-6.555457,-3.141594
307,1.843068,-6.394886,-3.141594
308,1.891937,-6.276204,-3.141594
309,1.926844,-6.213372,-3.141593
310,1.940807,-6.185447,-3.141593
311,1.954769,-6.164503,-3.141593
312,1.968732,-6.136578,-3.141593
313,2.010620,-6.066764,-3.141593
314,2.066470,-5.989970,-3.141593
315,2.150246,-5.878269,-3.141593
316,2.206097,-5.815437,-3.141593
317,2.241003,-5.780530,-3.141593
318,2.261947,-5.766568,-3.141593
319,2.268929,-5.766568,-3.141593
320,2.268929,-5.759586,-3.141593
321,2.268929,-5.759586,-3.141593
322,2.268929,-5.759586,-3.141593
323,2.268929,-5.759586,-3.141593
324,2.268929,-5.759586,-3.141593
325,2.268929,-5.759586,-3.141593
326,2.268929,-5.759586,-3.141593
327,2.275910,-5.759586,-3.141593
328,2.282892,-5.759586,-3.141593
