Frame,Rotation_X,Rotation_Y,Rotation_Z
0,1.570796,0.000000,5.701850
1,1.570796,0.000000,5.672411
2,1.570796,0.000000,5.594459
3,1.570796,0.000000,5.483539
4,1.570796,0.000000,5.355197
5,1.570796,0.000000,5.224982
6,1.570796,0.000000,5.108438
7,1.571993,0.015562,5.017328
8,1.575202,0.057268,4.948266
9,1.579846,0.117648,4.894087
10,1.585353,0.189233,4.847622
11,1.591147,0.264553,4.801703
12,1.596653,0.336137,4.749161
13,1.601298,0.396518,4.682828
14,1.604506,0.438224,4.595538
15,1.605703,0.453786,4.480120
16,1.605703,0.424782,4.330929
17,1.605703,0.349982,4.148408
18,1.605703,0.247704,3.934521
19,1.605703,0.136268,3.691233
20,1.605703,0.033991,3.420508
21,1.605703,-0.040809,3.124310
22,1.605703,-0.069813,2.804604
23,1.610289,-0.021817,2.464961
24,1.623480,0.104720,2.115382
25,1.644428,0.283616,1.767473
26,1.672284,0.488692,1.432841
27,1.706201,0.693768,1.123093
28,1.745329,0.872665,0.849835
29,1.788679,1.014560,0.621974
30,1.834690,1.128181,0.437614
31,1.881661,1.216669,0.292158
32,1.927891,1.283166,0.181010
33,1.971677,1.330813,0.099573
34,2.011317,1.362753,0.043250
35,2.045112,1.382126,0.007445
36,2.071357,1.392075,-0.012439
37,2.088352,1.395740,-0.020998
38,2.094395,1.396263,-0.022830
